option_id,product_id,sku_id,value_id
2,27307100,865,1
2,27307100,878,2
2,27307100,893,3
2,27307100,878,4
2,27307100,871,5
2,27307100,897,6
2,27307100,900,7
2,27307100,872,8
2,27921873,883,1
2,27921873,905,2
2,27921873,879,3
2,27921873,886,4
2,27921873,868,5
2,27921873,898,6
2,27921873,886,7
2,27921873,901,8
2,27921873,879,9
2,27921873,867,10
2,27921873,883,11
2,27921873,873,12
2,27921873,883,13
2,27921873,892,14
2,27921873,905,15
2,27921873,837,16
2,27921873,885,17
2,27921873,905,18
2,27921873,901,19
2,27921873,901,20
2,23371806,866,1
2,23371806,885,2
2,23371806,898,3
2,23371806,872,4
2,23371806,879,5
2,23371806,860,6
2,23371806,890,7
2,23371806,882,8
2,32502418,900,1
2,32502418,897,2
2,32502418,865,3
2,32502418,878,4
2,32502418,871,5
2,32502418,885,6
2,32502418,861,7
2,27144590,880,1
2,27144590,884,2
2,27144590,867,3
2,27144590,902,4
2,27144590,873,5
2,27144590,887,6
2,27144590,880,7
2,32618202,879,1
2,32618202,898,2
2,32618202,886,3
2,32618202,872,4
2,32894329,893,1
2,32894329,911,2
2,32894329,904,3
2,27436204,894,1
2,27436204,873,2
2,27436204,891,3
2,27505276,877,1
2,27505276,914,2
2,27505276,888,3
2,27505276,895,4
2,27505276,888,5
2,27505276,876,6
2,27505276,846,7
2,27505276,914,8
2,27505276,891,9
2,27505276,894,10
2,27505276,907,11
2,27505276,914,12
2,27505276,892,13
2,27505276,892,14
2,27505276,910,15
2,27505276,901,16
2,27505276,892,17
2,27505276,882,18
2,32894330,909,1
2,32894330,891,2
2,32894330,902,3
2,32830699,925,1
2,32830699,915,2
2,32830699,869,3
2,32830697,930,1
2,32830697,912,2
2,32830697,899,3
2,32830697,913,4
2,32830697,918,5
2,32493596,885,1
2,32493596,878,2
2,32493596,897,3
2,32493596,885,4
2,32493596,879,5
2,32493596,874,6
2,32493596,911,7
2,32486678,893,1
2,28089224,896,1
2,28089224,917,2
2,28048432,899,1
2,28048432,888,2
2,27918188,893,1
2,27918188,912,2
2,27918187,898,1
2,27918187,924,2
2,27918187,905,3
2,23372384,885,1
2,23372384,878,2
2,23372384,904,3
2,23372384,885,4
2,23372384,899,5
2,23372384,897,6
2,23372384,866,7
2,23372384,888,8
2,23372384,878,9
2,23372384,891,10
2,23372384,900,11
2,23372384,867,12
